28,37,2
28,38,2
28,40,1
28,41,2
28,45,2
28,46,3
28,49,0
28,51,2
28,56,2
37,28,2
37,38,2
37,40,1
37,41,2
37,45,2
37,46,1
37,49,0
37,51,1
37,56,1
38,28,2
38,37,2
38,40,0
38,41,2
38,45,2
38,46,2
38,49,0
38,51,1
38,56,3
40,28,1
40,37,1
40,38,0
40,41,0
40,45,1
40,46,0
40,49,1
40,51,1
40,56,1
41,28,2
41,37,2
41,38,2
41,40,0
41,45,2
41,46,2
41,49,0
41,51,0
41,56,1
45,28,2
45,37,2
45,38,2
45,40,1
45,41,2
45,46,1
45,49,0
45,51,1
45,56,0
46,28,3
46,37,1
46,38,2
46,40,0
46,41,2
46,45,1
46,49,1
46,51,2
46,56,2
49,28,0
49,37,0
49,38,0
49,40,1
49,41,0
49,45,0
49,46,1
49,51,1
49,56,0
51,28,2
51,37,1
51,38,1
51,40,1
51,41,0
51,45,1
51,46,2
51,49,1
51,56,1
56,28,2
56,37,1
56,38,3
56,40,1
56,41,1
56,45,0
56,46,2
56,49,0
56,51,1
